Coin(Etoro) Symbol,Coin(Etoro) Name,Has Gecko Support,Gecko Coin Reference (Symbol : [Name])
BTC,Bitcoin,Yes,{'BTC': ['Bitcoin']}
ETH,Ethereum,Yes,"{'ETH': ['Ethereum', 'Ethereum (Wormhole)']}"
BCH,Bitcoin Cash,Yes,"{'BCH': ['Binance-Peg Bitcoin Cash', 'Bitcoin Cash']}"
XRP,XRP,Yes,"{'XRP': ['Binance-Peg XRP', 'Heco-Peg XRP', 'XRP']}"
DASH,Dash,Yes,{'DASH': ['Dash']}
LTC,Litecoin,Yes,"{'LTC': ['Binance-Peg Litecoin', 'Litecoin']}"
ETC,Ethereum Classic,Yes,{'ETC': ['Ethereum Classic']}
API3,API3,Yes,{'API3': ['API3']}
CRO,Cronos,Yes,"{'CRO': ['Cronos (Wormhole)', 'Cronos']}"
IMX,Immutable X,Yes,"{'IMX': ['Immutable X', 'Impermax']}"
ADA,Cardano,Yes,"{'ADA': ['Binance-Peg Cardano', 'Cardano']}"
MIOTA,IOTA,Yes,{'MIOTA': ['IOTA']}
XLM,Stellar,Yes,{'XLM': ['Stellar']}
EOS,EOS,Yes,"{'EOS': ['Binance-Peg EOS', 'EOS']}"
NEO,NEO,Yes,{'NEO': ['NEO']}
TRX,TRON,Yes,"{'TRX': ['TRON', 'TRON (BSC)']}"
ZEC,ZCASH,Yes,{'ZEC': ['Zcash']}
XTZ,Tezos,Yes,{'XTZ': ['Tezos']}
DOT,Polkadot,Yes,"{'DOT': ['Binance-Peg Polkadot', 'Polkadot']}"
MKR,Maker,Yes,{'MKR': ['Maker']}
COMP,Compound,Yes,"{'COMP': ['Compound Coin', 'Compound', 'Compound (Wormhole)']}"
LINK,Chainlink,Yes,"{'LINK': ['Chainlink', 'Chainlink (Wormhole)']}"
UNI,Uniswap,Yes,"{'UNI': ['UNICORN', 'Uniswap', 'Uniswap (Wormhole)', 'UNIVERSE Project']}"
YFI,Yearn.finance,Yes,"{'YFI': ['yearn.finance', 'yearn.finance (Wormhole)']}"
DOGE,Dogecoin,Yes,"{'DOGE': ['Binance-Peg Dogecoin', 'Dogecoin']}"
AAVE,Aave,Yes,"{'AAVE': ['Aave', 'Aave (Wormhole)']}"
FIL,Filecoin,Yes,"{'FIL': ['Binance-Peg Filecoin', 'Filecoin']}"
ALGO,Algorand,Yes,{'ALGO': ['Algorand']}
ATOM,Cosmos,Yes,{'ATOM': ['Cosmos Hub']}
MANA,Decentraland,Yes,"{'MANA': ['Decentraland', 'Decentraland (Wormhole)', 'Genesis Mana']}"
APE,ApeCoin,Yes,"{'APE': ['APE', 'ApeCoin', 'APEcoin Token', 'ApeLab', 'Harmon Ape']}"
